"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","1990","1990",45.1,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","1991","1991",44.2,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","1992","1992",43.6,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","1993","1993",44.6,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","1994","1994",45.9,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","1995","1995",46.1,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","1996","1996",45.7,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","1997","1997",46,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","1998","1998",46.3,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","1999","1999",47.1,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2000","2000",47.3,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2001","2001",47.4,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2002","2002",48.1,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2003","2003",48.3,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2004","2004",49.4,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2005","2005",50,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2006","2006",50.9,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2007","2007",51.3,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2008","2008",50.8,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2009","2009",50.5,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2010","2010",50.8,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2011","2011",51,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2012","2012",50.5,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2013","2013",50,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2014","2014",50.2,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2015","2015",50.4,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2016","2016",50.7,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2017","2017",51.1,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","1995","1995",45.1,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","1996","1996",45.2,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","1997","1997",45.5,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","1998","1998",45.9,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","1999","1999",46.5,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2000","2000",46.9,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2001","2001",47,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2002","2002",46.8,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2003","2003",46.8,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2004","2004",46.8,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2005","2005",47.1,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2006","2006",47.7,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2007","2007",48.4,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2008","2008",49.1,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2009","2009",48.8,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2010","2010",49,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2011","2011",49.6,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2012","2012",49.9,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2013","2013",49.8,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2014","2014",49.8,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2015","2015",49.6,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2016","2016",49.7,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2017","2017",50.2,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2018","2018",50.8,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2019","2019",51.1,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUT","Austria","2020","2020",50.1,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","1995","1995",38.2,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","1996","1996",38.2,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","1997","1997",38.4,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","1998","1998",38.9,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","1999","1999",39.4,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2000","2000",40.1,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2001","2001",40.5,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2002","2002",40.4,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2003","2003",40.2,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2004","2004",40.4,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2005","2005",40.8,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2006","2006",41,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2007","2007",41.3,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2008","2008",41.8,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2009","2009",41.3,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2010","2010",41.2,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2011","2011",41.2,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2012","2012",41.2,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2013","2013",40.9,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2014","2014",40.8,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2015","2015",41,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2016","2016",41.3,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2017","2017",41.7,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2018","2018",42.2,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2019","2019",42.6,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","BEL","Belgium","2020","2020",42.4,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","1997","1997",46.9,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","1998","1998",47.6,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","1999","1999",48.4,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2000","2000",49.1,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2001","2001",49,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2002","2002",49.7,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2003","2003",50.3,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2004","2004",50.7,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2005","2005",50.9,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2006","2006",51.2,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2007","2007",51.8,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2008","2008",52,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2009","2009",50.5,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2010","2010",50.9,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2011","2011",51.2,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2012","2012",51.2,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2013","2013",51.3,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2014","2014",51.1,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2015","2015",51.1,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2016","2016",51.1,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2017","2017",51.5,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2018","2018",51.4,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2019","2019",51.7,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CAN","Canada","2020","2020",46.3,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CZE","Czech Republic","1995","1995",49.4,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CZE","Czech Republic","1996","1996",49.8,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CZE","Czech Republic","1997","1997",49.5,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CZE","Czech Republic","1998","1998",48.6,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CZE","Czech Republic","1999","1999",47.6,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CZE","Czech Republic","2000","2000",47.4,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CZE","Czech Republic","2001","2001",47.4,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CZE","Czech Republic","2002","2002",47.8,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CZE","Czech Republic","2003","2003",47.5,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CZE","Czech Republic","2004","2004",47.4,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CZE","Czech Republic","2005","2005",48.2,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CZE","Czech Republic","2006","2006",48.7,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CZE","Czech Republic","2007","2007",49.5,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CZE","Czech Republic","2008","2008",50.1,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","CZE","Czech Republic","2009","2009",48.9,,
