,GDP,Population,Employment,Year
10,28304.6,19028.8,47.3,2000
520,29617.5,10732.9,43.3,2018
420,40083.7,5313.4,48.5,2008
1012,27262.0,10573.1,46.1,2010
487,47609.8,81686.6,52.8,2015
892,45043.9,16615.4,52.8,2010
262,6070.0,3170.5,33.8,1992
471,26291.2,82100.2,47.6,1999
502,19516.2,10805.8,39.9,2000
36,24553.9,7959.0,45.2,1996
67,23732.3,10181.2,38.4,1997
695,34366.3,8215.7,46.8,2014
900,57826.6,17231.6,54.6,2018
1275,25855.8,78218.5,34.0,2015
576,49201.1,330.8,54.6,2015
150,29362.1,30685.7,49.1,2000
953,62076.7,4953.1,52.3,2011
648,22636.4,3674.2,38.9,1997
1292,29064.5,59365.7,47.1,2002
709,25021.1,56906.7,39.3,1998
1186,37286.2,46484.1,40.6,2016
865,17428.6,118453.9,30.9,2013
1031,8990.3,21451.7,42.8,2004
467,23552.3,81678.1,46.6,1995
1070,28821.2,146830.6,48.7,2018
832,90361.8,507.0,70.8,2010
547,27947.6,9814.0,45.6,2016
1167,17912.8,40057.4,36.4,1997
1270,17346.7,73142.2,30.9,2010
1077,10086.1,5383.3,39.5,1997
667,71498.6,4755.3,43.9,2016
788,6383.7,3601.6,41.6,1996
573,42004.4,320.7,52.2,2012
1089,23080.6,5386.4,40.9,2009
770,11061.2,2288.0,41.9,2003
687,25700.9,7053.7,42.6,2006
760,42438.7,126166.9,54.4,2019
473,28368.5,82349.9,48.4,2001
7,24442.2,18423.0,46.0,1997
738,25597.9,126166.0,53.7,1997
329,20932.1,10197.1,47.4,2004
541,21751.8,10000.0,39.5,2010
712,28033.7,56974.1,41.2,2001
190,18160.3,17063.9,41.8,2010
373,57483.0,5793.6,51.1,2018
937,24347.8,4359.2,48.4,1995
821,49845.3,430.5,58.3,1999
1217,51948.0,10057.7,49.9,2017
653,35222.1,3931.9,45.2,2002
481,36815.8,81902.3,49.9,2009
694,34324.6,8059.5,46.4,2013
1308,47591.2,66435.6,48.8,2018
505,23896.6,10928.1,41.1,2003
2,19136.1,17478.6,43.6,1992
430,49580.6,5515.5,47.6,2018
795,12067.7,3415.2,41.8,2003
787,5927.4,3629.1,40.9,1995
442,26155.2,60762.2,43.3,2000
332,26282.4,10298.8,49.5,2007
809,33761.6,2828.4,48.2,2017
1243,62225.1,8089.3,58.5,2013
863,16567.2,115367.5,30.7,2011
518,27511.8,10776.0,41.5,2016
715,29554.7,57685.3,42.3,2004
486,47011.6,80982.5,52.8,2014
719,35523.3,58826.7,43.1,2008
819,42485.1,419.5,54.8,1997
686,24853.7,6930.1,42.2,2005
1333,53291.1,316059.9,46.3,2013
549,31913.1,9775.6,47.7,2018
886,35809.8,16281.8,50.9,2004
984,23745.7,38063.2,40.7,2012
988,28322.1,37970.1,42.4,2016
388,19345.3,1346.8,47.0,2006
1235,41749.3,7437.1,55.7,2005
148,26319.7,30155.2,47.6,1998
322,14824.7,10304.1,49.5,1997
435,19231.3,58995.1,40.5,1993
895,49241.5,16804.4,52.0,2013
1249,72033.9,8575.3,59.5,2019
655,38733.4,4070.3,46.0,2004
771,12278.9,2263.1,42.4,2004
277,12279.4,4340.4,43.1,2007
755,39567.5,127237.2,51.4,2014
841,117341.9,620.0,74.8,2019
794,10480.5,3443.1,40.5,2002
982,21072.5,38042.8,40.4,2010
967,7681.2,38595.0,38.3,1995
1116,25720.4,2006.9,47.1,2006
457,40850.0,66548.3,42.5,2015
1021,36172.1,10286.3,48.1,2019
1039,18869.6,20058.0,43.1,2012
477,31794.1,82469.4,47.7,2005
346,19063.7,5154.3,50.6,1991
1293,30360.8,59636.7,47.3,2003
754,39411.6,127413.9,51.1,2013
1214,47184.7,9696.1,48.9,2014
1210,42223.9,9378.1,47.9,2010
159,38865.4,33628.9,50.5,2009
1248,71660.2,8514.3,59.5,2018
355,28658.1,5339.6,51.6,2000
1291,27810.3,59113.0,46.9,2001
1204,33858.6,8993.5,48.2,2004
81,40942.4,11038.3,41.2,2011
275,10296.9,4215.2,40.9,2005
899,55088.6,17131.3,53.5,2017
765,7068.6,2410.0,40.4,1998
279,12704.3,4469.3,41.6,2009
338,30818.1,10514.3,48.3,2013
35,23684.7,7948.3,45.1,1995
785,30877.0,1927.2,46.6,2018
367,44804.0,5591.6,49.5,2012
497,15424.5,10562.2,39.4,1995
1082,13312.4,5376.9,37.9,2002
969,8936.6,38649.7,39.3,1997
830,90970.7,488.7,71.4,2008
284,16607.4,4773.1,42.3,2014
347,19814.1,5171.4,50.0,1992
6,23268.4,18224.8,45.7,1996
882,31870.8,15925.5,51.5,2000
650,27041.5,3754.8,43.2,1999
85,46200.9,11274.2,41.0,2015
942,36936.5,4491.0,51.5,2000
517,26760.4,10820.9,39.9,2015
1326,46302.0,298379.9,49.2,2006
289,22585.7,5058.0,42.2,2019
410,23576.9,5153.5,42.8,1998
396,28945.5,1314.5,46.4,2014
885,34149.6,16225.3,51.6,2003
1205,34244.5,9029.6,48.1,2005
276,11211.7,4278.7,41.4,2006
1106,14304.0,1988.6,45.5,1996
513,25671.5,11104.9,40.6,2011
359,32938.7,5404.5,50.8,2004
48,41316.2,8321.5,49.1,2008
847,8468.8,91843.9,28.9,1995
197,24538.8,18419.2,44.9,2017
708,23875.8,56890.4,38.9,1997
68,24368.9,10203.0,38.9,1998
926,37293.4,4516.5,51.6,2014
540,20729.8,10022.7,39.7,2009
789,7069.3,3575.1,42.1,1997
24,47603.9,23475.7,50.2,2014
999,15788.7,10109.0,46.7,1997
716,30130.6,57969.5,42.3,2005
722,36598.0,59379.4,41.8,2011
58,56960.1,8840.5,50.8,2018
689,27510.1,7308.8,44.4,2008
1230,36772.7,7184.3,56.0,2000
1079,10714.3,5396.0,38.3,1999
440,23413.7,60046.7,41.8,1998
1026,5596.5,22472.0,48.3,1999
941,30555.0,4461.9,51.6,1999
1037,16976.3,20246.9,43.1,2010
545,25699.8,9866.5,42.8,2014
18,40105.1,21249.2,50.8,2008
1269,15442.6,72039.2,29.5,2009
532,13207.9,10187.6,40.5,2001
152,30963.1,31360.1,49.7,2002
73,30932.8,10376.1,40.2,2003
448,32562.7,63437.4,43.2,2006
461,48971.1,67388.0,43.7,2019
