,Prevalence
10,18.32251720636425
520,17.09373600088816
420,15.14636078766257
1012,18.87206807733269
487,15.22788799484557
892,16.17526646473709
262,12.55055832119286
471,14.59357172187816
502,17.64643128003989
36,15.94500912905973
67,14.67698736921339
695,14.52241651026136
900,16.56212445416321
1275,14.59939565176639
576,14.58237229964793
150,13.8663924990748
953,15.913823741453507
648,17.1135606824833
1292,14.81201794311211
709,14.72696884781903
1186,18.7640430693667
865,12.22160181079736
1031,11.23321580258589
467,14.51826866333242
1070,11.34798780320863
832,14.943578028813809
547,11.34174824200008
1167,17.06341770952108
1270,14.70496198474758
1077,11.56707414459678
667,17.7979710270164
788,13.62495991516814
573,14.51143174672972
1089,11.34526698846464
770,13.020471083122551
687,14.41463740317104
760,10.5753039422184
473,14.63212843183392
7,18.52242275920365
738,10.73735007948861
329,11.343920386832307
541,11.40078474663211
712,14.66209562875403
190,15.44653747338498
373,14.16134555620892
937,16.10481225032452
821,15.31910872744035
1217,15.31808237541315
653,16.95180831351927
481,15.13942204244852
694,14.61597212517652
1308,15.14306895474774
505,17.43047115472945
2,18.70723986594005
430,14.904112599027531
795,13.6854717611995
787,13.59450591606474
442,17.2151967515317
332,11.28747118478688
809,13.29159877292134
1243,17.191945067578278
863,12.26343047047954
518,17.02780597759338
715,14.68673435478755
486,15.22465035430951
719,14.79164110521447
819,15.345573308447449
686,14.36155210063638
1333,16.76685506915573
549,11.32894597855191
886,16.18889643661662
984,10.50817307314062
988,10.46987042389168
388,12.65284553897654
1235,16.40374906657593
148,14.19367124363234
322,11.542356069296709
435,16.83376069693985
895,16.52859861013658
1249,17.07454683578732
655,16.94575713270866
771,12.95504450917939
277,12.805452579171453
755,10.65019749610303
841,14.90676863184495
794,13.748893442517147
982,10.52444333350137
967,10.76195446619706
1116,11.940696595214453
457,16.63925573860026
1021,18.45128785304269
1039,11.12596931835453
477,14.898833711205553
346,14.81659472920558
1293,14.75412054682417
754,10.67108925441435
1214,15.33466998472259
1210,15.38025313088451
159,14.60202366977772
1248,17.14053382962404
355,14.314777299665622
1291,14.862527093295189
1204,15.45748073949166
81,15.023500908353702
275,12.77262991144735
899,16.5489720711956
765,13.19482511875524
279,12.84626497527669
338,11.19689863850117
35,15.9713587920008
785,12.61628934240562
367,14.17976695867678
497,16.63818441391271
1082,11.51084965607277
969,10.76600233154881
830,15.00449511856189
284,12.96701026088162
347,14.78154623095284
6,18.63209861180565
882,16.57200025755918
650,16.98597533571153
85,15.01568911774433
942,15.7266137862217
517,16.98736326893342
1326,17.4720726363958
289,13.009186307377298
410,15.33613558642238
396,12.23710892160669
885,16.293861117994
1205,15.46091946539514
276,12.78589145609224
1106,12.27234351761278
513,17.42682551408068
359,14.13772139524512
48,15.65331075627274
847,11.07308607080575
197,15.3323504381229
708,14.7882997000652
68,14.65833283701706
926,19.0318174205142
540,11.4135432954832
789,13.685561331138327
24,19.04866076731275
999,18.78450014466413
716,14.67710425399694
722,14.94029457895011
58,15.80062018119572
689,14.70932585834303
1230,17.20445781569226
1079,11.55001834176029
440,17.06222884408793
1026,11.241665895238109
941,15.762360146834558
1037,11.11019874891853
545,11.35357930126486
18,19.32798091128679
1269,14.7487386717332
532,11.5668987309233
152,13.83437112519183
73,14.739855678870988
448,17.11103649842051
461,16.63237223880752
570,14.46104564742189
1329,17.40763277284005
12,18.68995962182585
356,14.265963151604192
661,17.75254509385189
1080,11.5368892976436
399,12.18195394646984
854,11.734552973374493
957,15.97259583528892
973,10.71579566937447
823,15.26744826877397
820,15.33600517319836
960,16.05901958335621
350,14.6626067151217
928,19.0376846618182
729,15.01531246266366
698,14.470370253573432
337,11.21058305001986
424,15.17467291180199
1099,11.20573391428391
1195,15.425436750315727
86,15.00787237125864
257,11.99675794670596
802,13.39854865607675
783,12.63055673374159
193,15.393165395017942
258,12.02654514623203
737,10.69117009344977
161,14.75120910880486
1199,15.42147601516058
158,14.35639863088112
526,11.81983416303876
1328,17.43472700686322
1231,17.09253242408741
1242,17.21103512361129
840,14.89859917121857
848,11.12456765690036
163,14.87444703138044
11,18.44712647157251
1338,16.63068063032096
50,15.658216114626718
49,15.65627971985263
515,17.15608036822755
341,11.16503229198212
1184,18.67334189898248
834,14.934133846650042
1081,11.5254876998699
1273,14.64492554420743
352,14.53417976658121
888,16.11762300723012
